Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","R_0805_2012Metric",27.8892,19.9390,0.0000,bottom
"C2","1uF","C_0805_2012Metric",9.3980,33.0708,180.0000,bottom
"C3","100nF","R_0805_2012Metric",9.2964,30.2006,-90.0000,bottom
"C4","100nF","R_0805_2012Metric",21.7043,32.8625,0.0000,bottom
"C5","100nF","R_0805_2012Metric",12.6238,36.5836,-90.0000,bottom
"C6","100nF","R_0805_2012Metric",21.7170,30.8356,0.0000,bottom
"C7","100nF","R_0805_2012Metric",30.3784,8.1534,-90.0000,bottom
"C8","100nF","R_0805_2012Metric",21.6916,25.6286,0.0000,bottom
"C9","100nF","R_0805_2012Metric",21.6916,23.5712,0.0000,bottom
"C10","100nF","R_0805_2012Metric",14.5288,36.5633,-90.0000,bottom
"C11","100nF","R_0805_2012Metric",27.9400,41.6560,0.0000,bottom
"C12","100nF","R_0805_2012Metric",29.7053,51.9176,90.0000,bottom
"C13","47uF/6V3","C_0805_2012Metric",10.2362,37.7952,90.0000,bottom
"C14","47uF/16","CP_EIA-7132-28_AVX-C",10.2870,13.7211,-90.0000,bottom
"C15","100nF","R_0805_2012Metric",18.0340,39.6748,-90.0000,bottom
"C16","100nF","R_0805_2012Metric",13.8684,50.2920,-90.0000,bottom
"C17","100nF","R_0805_2012Metric",15.6464,11.6840,90.0000,bottom
"D1","M4","D_SMA",5.0800,26.5633,-90.0000,bottom
"D2","M4","D_SMA",10.1600,22.2133,90.0000,bottom
"L1","BLM21PG331SN1D","R_0805_2012Metric",9.3726,35.1282,0.0000,bottom
"R1","1k","R_0805_2012Metric",14.0716,20.1422,180.0000,bottom
"R2","1k","R_0805_2012Metric",23.4188,13.8811,-90.0000,bottom
"R3","1k","R_0805_2012Metric",28.4734,8.1534,-90.0000,bottom
"R4","100R","R_0805_2012Metric",13.6144,33.8963,0.0000,bottom
"R5","130R","R_0805_2012Metric",18.9484,33.6042,90.0000,bottom
"R6","130R","R_0805_2012Metric",18.9484,30.2006,-90.0000,bottom
"R7","130R","R_0805_2012Metric",18.9230,26.3398,90.0000,bottom
"R8","130R","R_0805_2012Metric",18.8976,22.9108,-90.0000,bottom
"R9","1k","R_0805_2012Metric",27.7622,44.4500,-90.0000,bottom
"R10","1k","R_0805_2012Metric",23.3426,36.4998,-90.0000,bottom
"R11","1k","R_0805_2012Metric",27.7749,51.9049,90.0000,bottom
"R12","1k","R_0805_2012Metric",20.3708,39.6748,-90.0000,bottom
"R13","1k","R_0805_2012Metric",11.2776,50.2920,-90.0000,bottom
"R14","1k","R_0805_2012Metric",13.6144,11.6840,90.0000,bottom
"U1","Si53322","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias",13.0810,28.5953,0.0000,bottom
